"ev_takim","dep_takim","ev_sonuc","dep_sonuc","ev_topla_oynama","ev_ikili_mucadele_kazanma","ev_hava_topu","ev_pas_arasi","ev_ofsayt","ev_korner","dep_topla_oynama","dep_ikili_mucadele_kazanma","dep_hava_topu","dep_pas_arasi","dep_ofsayt","dep_korner","ev_pas","ev_uzun_pas","ev_pas_isabet","ev_rakip_yari_sahada_pas_isabeti","ev_orta","ev_orta_istabeti","dep_pas","dep_uzun_pas","dep_pas_isabet","dep_rakip_yari_sahada_pas_isabeti","dep_orta","dep_orta_istabeti","ev_gol","ev_sut","ev_isabetli_sut","ev_sut_engelleme","ev_ceza_sahasinin_disindan_sut","ev_ceza_sahasinin_icinden_sut","ev_sut_isabeti","dep_gol","dep_sut","dep_isabetli_sut","dep_sut_engelleme","dep_ceza_sahasi_disindan_sut","dep_ceza_sahasi_icinden_sut","dep_sut_isabeti","ev_top_kapma","ev_top_kapma_basarisi","ev_uzaklastirma","dep_top_kapma","dep_top_kapma_basarisi","dep_uzaklastirma","ev_faul","ev_sari_kart","ev_kirmizi_kart","dep_faul","dep_sari_kart","dep_kirmizi_kart"
"İstanbul Başakşehir","Bursaspor","3","0","%47,0","%52,8","%44,2","16","3","3","%53,0","%47,2","%55,8","14","3","5","427","92","%64,4","%53,3","16","%12,5","467","108","%69,0","%60,9","35","%25,7","3","11","6","1","5","6","%54,5","0","14","3","3","5","9","%21,4","23","%56,5","45","8","%75,0","15","13","0","0","13","2","0","1"
"Antalyaspor","Akhisarspor","1","2","%58,2","%55,0","%54,5","10","0","8","%41,8","%45,0","%45,5","11","0","7","520","42","%87,9","%79,0","32","%21,9","377","66","%78,2","%65,2","13","%23,1","1","17","6","2","6","11","%35,3","2","5","3","1","1","4","%60,0","15","%80,0","9","17","%70,6","24","10","3","0","17","1","0","2"
"Yeni Malatyaspor","İstanbul Başakşehir","0","2","%41,9","%53,6","%51,5","7","1","4","%58,1","%46,4","%48,5","6","3","3","329","70","%72,9","%58,3","18","%27,8","466","57","%80,3","%68,4","10","%0,0","0","9","2","1","4","5","%22,2","2","9","5","0","3","6","%55,6","11","%45,5","15","12","%75,0","13","10","2","0","12","3","0","2"
"Alanyaspor","Antalyaspor","0","1","%58,0","%45,3","%48,5","6","2","7","%42,0","%54,7","%51,5","14","5","4","451","60","%82,0","%72,7","30","%33,3","336","71","%74,1","%59,5","11","%36,4","0","12","1","4","3","9","%8,3","1","10","3","2","1","9","%30,0","20","%70,0","15","22","%68,2","29","16","1","1","14","4","0","2"
"Bursaspor","Sivasspor","3","2","%53,3","%51,5","%52,3","8","1","7","%46,7","%48,5","%47,7","7","2","1","455","63","%78,2","%66,3","26","%30,8","410","71","%75,4","%60,9","7","%0,0","3","12","5","2","5","7","%41,7","2","4","3","0","2","2","%75,0","21","%61,9","14","13","%46,2","23","21","3","0","10","1","0","1"
"Yeni Malatyaspor","BB Erzurumspor","3","1","%49,8","%46,2","%51,7","12","2","4","%50,2","%53,8","%48,3","10","1","9","381","72","%80,3","%65,5","15","%6,7","369","39","%84,3","%72,8","25","%16,0","3","15","9","3","3","12","%60,0","1","21","5","5","11","10","%23,8","11","%81,8","29","8","%62,5","17","16","3","0","18","4","0","1"
"Antalyaspor","Çaykur Rizespor","2","1","%47,4","%45,4","%50,0","12","2","5","%52,6","%54,6","%50,0","14","1","5","393","40","%83,0","%70,5","23","%13,0","453","79","%80,8","%70,3","14","%14,3","2","13","4","3","9","4","%30,8","1","6","2","0","3","3","%33,3","10","%60,0","18","17","%88,2","16","12","3","1","13","2","1","1"
"Yeni Malatyaspor","Sivasspor","4","4","%61,1","%49,1","%47,6","4","3","5","%38,9","%50,9","%52,4","6","0","3","475","70","%82,1","%70,4","31","%29,0","310","71","%72,6","%56,3","11","%45,5","4","23","8","4","13","10","%34,8","4","12","7","2","3","9","%58,3","14","%85,7","15","13","%61,5","43","13","3","0","13","2","1","0"
"Trabzonspor","Göztepe","1","2","%66,3","%47,0","%44,4","11","2","4","%33,7","%53,0","%55,6","22","1","2","575","47","%83,8","%71,0","25","%24,0","297","60","%68,7","%58,1","3","%66,7","1","13","5","2","4","9","%38,5","2","4","2","1","0","4","%50,0","21","%61,9","6","19","%73,7","35","13","2","0","13","4","0","2"
"Beşiktaş","Trabzonspor","2","2","%61,5","%55,7","%57,6","12","2","10","%38,5","%44,3","%42,4","12","0","8","463","42","%79,5","%66,6","36","%33,3","297","70","%66,3","%51,1","14","%14,3","2","18","8","2","3","15","%44,4","2","14","7","1","5","9","%50,0","20","%80,0","25","10","%40,0","21","16","3","0","14","1","0","0"
