"Kasımpaşa","Osmanlıspor FK","3","2","%55,1","%55,5","%52,8","16","1","4","%44,9","%44,5","%47,2","17","2","6","476","54","%79,8","%71,8","18","%22,2","374","47","%77,3","%60,9","28","%25,0","3","11","7","2","1","10","%63,6","2","15","4","2","7","8","%26,7","27","%81,5","43","16","%75,0","28","9","2","0","13","2","0","1"
"Alanyaspor","Akhisarspor","0","0","%49,8","%44,4","%41,5","15","1","4","%50,2","%55,6","%58,5","12","4","6","399","112","%66,4","%54,6","15","%20,0","393","77","%64,9","%49,6","23","%17,4","0","12","1","5","8","4","%8,3","0","7","0","3","2","5","%0,0","10","%60,0","30","16","%75,0","21","19","3","0","22","2","0","0"
"Alanyaspor","Beşiktaş","1","4","%36,9","%51,2","%26,7","9","0","2","%63,1","%48,8","%73,3","7","6","12","317","40","%79,8","%67,6","13","%30,8","544","67","%86,9","%70,9","26","%23,1","1","10","4","2","4","6","%40,0","4","10","6","1","2","8","%60,0","15","%80,0","18","9","%77,8","11","14","1","0","18","4","0","2"
"Fenerbahçe","Beşiktaş","0","0","%48,1","%51,2","%47,2","10","2","4","%51,9","%48,8","%52,8","14","1","1","349","45","%75,4","%60,1","21","%23,8","382","58","%77,5","%54,8","13","%7,7","0","10","0","3","2","8","%0,0","0","2","0","1","1","1","%0,0","25","%84,0","16","21","%61,9","30","21","2","0","21","3","0","0"
"Fenerbahçe","İstanbul Başakşehir","1","0","%45,1","%56,8","%62,2","21","2","2","%54,9","%43,2","%37,8","19","0","1","366","64","%71,3","%58,6","17","%11,8","453","59","%74,4","%61,2","15","%13,3","1","7","2","1","4","3","%28,6","0","8","2","1","2","6","%25,0","24","%66,7","25","16","%87,5","23","23","7","0","18","3","0","1"
"Konyaspor","Antalyaspor","1","1","%63,5","%45,9","%33,3","14","2","7","%36,5","%54,1","%66,7","18","2","4","436","58","%76,1","%68,8","32","%28,1","255","63","%62,4","%53,6","13","%7,7","1","17","5","6","6","11","%29,4","1","7","1","3","4","3","%14,3","13","%84,6","15","22","%72,7","29","12","5","0","18","4","2","0"
"Akhisarspor","Kasımpaşa","1","0","%39,5","%54,4","%52,8","15","2","0","%60,5","%45,6","%47,2","16","2","3","337","61","%74,2","%64,8","10","%30,0","506","73","%84,0","%72,8","30","%6,7","1","12","3","3","7","5","%25,0","0","14","3","4","8","6","%21,4","18","%44,4","37","8","%62,5","7","14","3","0","21","5","0","1"
"Alanyaspor","İstanbul Başakşehir","0","5","%51,1","%56,3","%38,9","16","0","1","%48,9","%43,7","%61,1","22","1","4","412","68","%78,4","%68,8","14","%28,6","390","67","%77,9","%65,5","16","%31,3","0","14","3","2","8","6","%21,4","5","12","6","2","1","11","%50,0","19","%73,7","12","8","%75,0","9","17","1","0","16","1","0","2"
"İstanbul Başakşehir","Osmanlıspor FK","2","2","%58,1","%51,7","%51,9","18","0","10","%41,9","%48,3","%48,1","14","0","4","379","61","%77,3","%64,6","31","%25,8","281","61","%69,0","%60,8","16","%18,8","2","20","4","8","11","9","%20,0","2","11","3","6","7","4","%27,3","19","%89,5","6","16","%75,0","34","21","4","0","21","3","0","0"
"Karabükspor","Alanyaspor","0","2","%59,5","%50,0","%65,2","9","3","8","%40,5","%50,0","%34,8","26","2","4","456","55","%75,2","%62,3","30","%26,7","321","74","%67,9","%55,1","12","%16,7","0","12","2","5","4","8","%16,7","2","8","5","1","1","7","%62,5","23","%87,0","14","25","%64,0","39","20","2","0","19","3","0","2"
"Gaziantepspor","Kayserispor","1","2","%56,4","%50,0","%52,8","14","1","6","%43,6","%50,0","%47,2","18","2","4","338","84","%69,2","%59,3","22","%27,3","260","65","%64,2","%55,6","17","%23,5","1","13","6","2","7","6","%46,2","2","7","2","0","1","6","%28,6","19","%89,5","11","22","%86,4","41","14","1","0","18","1","0","2"
"Beşiktaş","Galatasaray","2","2","%56,0","%49,1","%45,5","14","2","8","%44,0","%50,9","%54,5","19","0","8","444","69","%81,1","%65,7","29","%34,5","356","53","%74,7","%61,9","15","%33,3","2","17","7","4","5","12","%41,2","2","15","7","5","5","10","%46,7","16","%62,5","13","20","%65,0","31","18","2","0","14","3","0","0"
"Bursaspor","Adanaspor","0","1","%58,9","%57,5","%64,7","9","2","3","%41,1","%42,5","%35,3","21","0","1","486","57","%75,5","%63,3","21","%9,5","348","74","%66,4","%56,1","7","%14,3","0","9","1","4","3","6","%11,1","1","8","3","3","4","4","%37,5","22","%63,6","14","18","%77,8","30","19","3","0","30","3","0","2"
